company_name,email,website,phone,street,postcode,city,country,founding_year,employee_count,distribution_area,description,source,source_detail,verify_status,verify_code,verify_method,catch_all
Ernst-Udo Müller Internationale Spedition GmbH,f.koerdt@mueller-spedition.de; info@mueller-spedition.de; kontakt@mueller-spedition.de; office@mueller-spedition.de,https://www.mueller-spedition.de/,,Runtestrasse 10,59457,Werl,DE,,,,,Europages,"pattern_mx_top3:kontakt@mueller-spedition.de,office@mueller-spedition.de",unknown,,smtp_unreachable,false
DHG-Transporte Kunz GmbH,hh.michel@web.de; info@dhg-transportekunz.de; ingb.ott@web.de; kontakt@dhg-transportekunz.de; kunzkarl@web.de; mario.neudi@web.de; office@dhg-transportekunz.de; reidl.reku@web.de; samir-zygowski@web.de; service@dhg-transportekunz.de; vertrieb@dhg-transportekunz.de,https://dhg-transportekunz.de/,,"Jägerst 139, 139",48429,Rheine,DE,,,,,Europages,"Europages + MainDB_old; pattern_mx:info@dhg-transportekunz.de,kontakt@dhg-transportekunz.de,office@dhg-transportekunz.de,service@dhg-transportekunz.de,vertrieb@dhg-transportekunz.de",unknown,,smtp_unreachable,false
Alburg Transport Inh. Imad Abboud,alburgtransport@hotmail.com,https://www.alburgtransport.de/,,Justus-Liebig-Str 8,99087,Erfurt,DE,,,"en – flexibel &amp; zuverlässig"" title=""Express- u",,Europages,,unknown,,smtp_unreachable,false
VANESSA Transporte e.Kfr. Vanessa Blüthgen,info@vanessa-transporte.de; kontakt@vanessa-transporte.de; office@vanessa-transporte.de,http://www.vanessa-transporte.de/,,Buschestr. 5,48336,Sassenberg,DE,,,en und einen reibungslosen Ablauf Ihrer Warenström,,Europages,"pattern_mx_top3:info@vanessa-transporte.de,kontakt@vanessa-transporte.de",unknown,,smtp_unreachable,false
Spedition Peter Kuhnert & Sohn GmbH,arne-aits@sped-kuhnert.de; info@areltrailer.com; info@sped-kuhnert.de; kontakt@sped-kuhnert.de; michael-illing@sped-kuhnert.de; office@sped-kuhnert.de; thorben-illing@sped-kuhnert.de,http://www.sped-kuhnert.de/,,Kiefernstrasse 5,26215,Wiefelstede,DE,,,,,Europages,"pattern_mx_top3:info@sped-kuhnert.de,kontakt@sped-kuhnert.de,office@sped-kuhnert.de",unknown,,smtp_unreachable,false
Böld Transporte GmbH,info@böld-group.de; kontakt@böld-group.de; office@böld-group.de; service@böld-group.de; vertrieb@böld-group.de; patrick.englhart@boeld-transporte.de,https://böld-group.de,,Meierweg 10,86154,Augsburg,DE,,,,,Europages,"pattern_mx:vertrieb@böld-group.de,office@böld-group.de,service@böld-group.de,info@böld-group.de,kontakt@böld-group.de",unknown,,smtp_unreachable,false
CIMDATA SOFTWARE GmbH,info@cimdata-sw.de; infocim@cimdata-sw.de; kontakt@cimdata-sw.de; office@cimdata-sw.de; anja.elzinger@aptean.com; holger.looks@aptean.com; uwe.moehring@aptean.com,https://www.cimdata-sw.de/,,Hohentrüdinger Strasse 11,91747,Westheim,DE,,,,,Europages,"pattern_mx_top3:info@cimdata-sw.de,kontakt@cimdata-sw.de,office@cimdata-sw.de",unknown,,smtp_unreachable,false
EX-PACK Expeditions- und Verpackungsges. mbH,info@expack.de; kontakt@expack.de; office@expack.de; service@expack.de; vertrieb@expack.de,http://www.expack.de/,,Reeser Strasse 94,46446,Emmerich,DE,,,"von Paketen, auch für kleinere Sendungen"" title=""K",,Europages,"Europages + MainDB_old; pattern_mx:info@expack.de,vertrieb@expack.de,office@expack.de,service@expack.de,kontakt@expack.de",unknown,,smtp_unreachable,false
Export-Pack Thüringen GmbH,info@export-pack.de; j.nicolas@jnc-one.com; kontakt@export-pack.de; office@export-pack.de; t.hertwig@export-pack.de,https://www.export-pack.de/,,Ernst-Minner-Strasse 7,99310,Arnstadt,DE,,,,,Europages,"pattern_mx_top3:kontakt@export-pack.de,office@export-pack.de",unknown,,smtp_unreachable,false
NFG Transportlogistik UG (haftungsbeschränkt),info@nfg-transportlogistik.de; kevin.juras@nfg-transportlogistik.de; kontakt@nfg-transportlogistik.de; office@nfg-transportlogistik.de,https://nfg-transportlogistik.de/,,Hauptstraße 30,71737,Kirchberg an der Murr,DE,,,,,Europages,"pattern_mx_top3:kontakt@nfg-transportlogistik.de,office@nfg-transportlogistik.de",unknown,,smtp_unreachable,false
